,TOTAL BC,in pure BC,in MBS
"BURDEN, Tg(C)",0.04 ± 0.00,0.03 ± 0.00,0.00 ± 0.00
"SOURCES, Tg/yr",2.33 ± 0.00,2.33 ± 0.00,0.14 ± 0.00
"Emissions, Tg/yr",2.33 ± 0.00,2.33 ± 0.00,
"Aging (source), Tg/yr",,,0.14 ± 0.00
"SINKS, Tg/yr",-2.33 ± 0.00,-2.33 ± 0.00,-0.14 ± 0.00
"Dry deposition, Tg/yr",-0.14 ± 0.00,-0.14 ± 0.00,-0.00 ± 0.00
"Impaction scavenging, Tg/yr",-2.11 ± 0.00,-2.05 ± 0.00,-0.06 ± 0.00
"Nucleation scavenging by stratiform clouds, Tg/yr",-0.07 ± 0.00,-0.00 ± 0.00,-0.07 ± 0.00
"Nucleation scavenging by convective clouds, Tg/yr",-0.00 ± 0.00,0.00 ± 0.00,-0.00 ± 0.00
"Aging (sink), Tg/yr",,-0.14 ± 0.00,
"LIFETIME, days",5.67 ± 0.01,5.42 ± 0.01,4.25 ± 0.03
