,TOTAL SULFATE,in NUC,in AIT,in ACC,in MOS,in MBS
"BURDEN, Tg(SO4)",0.52 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.40 ± 0.00,0.11 ± 0.00,0.01 ± 0.00
"SOURCES, Tg/yr",210.87 ± 0.26,0.01 ± 0.00,0.08 ± 0.00,204.45 ± 0.26,6.19 ± 0.01,0.50 ± 0.01
"H2SO4 condensation, Tg/yr",4.72 ± 0.02,0.01 ± 0.00,0.07 ± 0.00,3.36 ± 0.01,0.98 ± 0.01,0.29 ± 0.00
"Binary nucleation, Tg/yr",0.00 ± 0.00,0.00 ± 0.00,,,,
"Cloud evaporation, Tg/yr",201.01 ± 0.26,,,201.01 ± 0.26,,
"Coagulation (source), Tg/yr",,,0.00 ± 0.00,0.00 ± 0.00,0.20 ± 0.00,0.08 ± 0.00
"Aging (source), Tg/yr",5.13 ± 0.01,,,,5.00 ± 0.01,0.13 ± 0.00
"Mode mass adjustment (source), Tg/yr",,,0.01 ± 0.00,0.08 ± 0.00,,
"SINKS, Tg/yr",-210.96 ± 0.26,-0.01 ± 0.00,-0.08 ± 0.00,-204.52 ± 0.26,-6.21 ± 0.01,-0.50 ± 0.01
"Dry deposition, Tg/yr",-2.04 ± 0.00,-0.00 ± 0.00,-0.00 ± 0.00,-1.90 ± 0.00,-0.12 ± 0.00,-0.02 ± 0.00
"Impaction scavenging, Tg/yr",-49.01 ± 0.02,-0.00 ± 0.00,-0.00 ± 0.00,-46.11 ± 0.02,-2.65 ± 0.01,-0.26 ± 0.00
"Nucleation scavenging by stratiform clouds, Tg/yr",-149.33 ± 0.23,-0.00 ± 0.00,-0.00 ± 0.00,-145.91 ± 0.22,-3.21 ± 0.01,-0.21 ± 0.00
"Nucleation scavenging by convective clouds, Tg/yr",-10.58 ± 0.03,-0.00 ± 0.00,-0.00 ± 0.00,-10.33 ± 0.03,-0.23 ± 0.00,-0.01 ± 0.00
"Coagulation (sink), Tg/yr",,-0.00 ± 0.00,-0.00 ± 0.00,-0.28 ± 0.00,,
"Mode mass adjustment (sink), Tg/yr",,-0.01 ± 0.00,-0.08 ± 0.00,,,
"LIFETIME, days",0.90 ± 0.00,0.18 ± 0.00,0.10 ± 0.00,0.72 ± 0.00,6.26 ± 0.04,5.83 ± 0.14
